NÚMERO,ANALISADO?,SMELL?,QUAL SMELL?,Target: 74,Count: 74,,
4489,SIM,SIM,"US, CT",,,,
4336,SIM,SIM,"UI, IW, ES, US, MV",,,,
4331,SIM,SIM,"US, CT, UP, UI, IW, ES",,,1 - Ambiguous Test,2
3986,SIM,SIM,"ES, DV, TK, UI",,,2 - Conditional Test Logic,23
4060,SIM,SIM,"TK, ES",,,3 - Eager Step,37
4223,SIM,SIM,"DV, ES, UP, TC (4220), SC, BN",,,4 - Misplaced Pre-Condition,0
4287,SIM,SIM,"MP, TK, AI, ES, TY",,,5 - Misplaced Result,0
4345,SIM,SIM,"TY, ES, CT, UI, UP, MV",,,6 - Misplaced Step,2
4524,SIM,SIM,"TY, UP, TK, AI, ES",,,7 - Unverified Step,11
4563,SIM,SIM,"CT, ES, UP",,,8 - Undefined Wait,0
1103,SIM,SIM,"UP, MV, TK, MS",,,9 - Bad Verification Format,0
1782,SIM,SIM,"ES, UP, TK, MP, IT",,,Total,75
3060,SIM,SIM,"TK, UP, ES, AI",,,,
3067,SIM,SIM,"TK, ES, US, UW, ",,,10 - Tacit Knowledge,38
3074,NÃO,NÃO,TESTE NAO USADO,,,,
3076,NÃO,NÃO,,,,,
3077,NÃO,NÃO,,,,,
3078,NÃO,NÃO,,,,,
3089,NÃO,NÃO,,,,,
3090,NÃO,NÃO,,,,,
3102,NÃO,NÃO,,,,,
3103,NÃO,NÃO,,,,,
3104,NÃO,NÃO,,,,,
3105,NÃO,NÃO,,,,,
3114,SIM,SIM,"CT, ES, UP, UI, TK, US, TY, ",,,,
3117,SIM,SIM,"TK, TY, AI, MP, MR, ES, UP, US, UI, MS, ",,,,
3124,SIM,SIM,"TY, CT, UP",,,,
3921,SIM,SIM,"ET, ",,,,
3923,SIM,SIM,"ES, CT, TK",,,,
3924,SIM,SIM,"CT, UP, ET",,,,
3927,SIM,SIM,"CT, UP, ET",,,,
3928,SIM,SIM,"CT, UW, TY, UP",,,,
3930,SIM,SIM,"UP, UW, SC (3928), ",,,,
3933,SIM,SIM,TK ,,,,
3947,SIM,SIM,"ET, UP, SC",,,,
3948,SIM,SIM,"DV, UP, CT, ES, ET, TK",,,,
3952,SIM,SIM,"DV, UP, CT, ES, ET, TK",,,,
3953,SIM,SIM, ,,,,
3954,SIM,SIM,"DV, ET, CT",,,,
3955,SIM,SIM,"TK, TY, UP",,,,
3956,SIM,SIM,"UP, ET",,,,
3957,SIM,SIM,"ET, UP, ",,,,
3960,SIM,SIM,"ET, CT, ",,,,
3963,SIM,SIM,DV ---pending,,,,
3964,SIM,SIM,"ES, TK, DV, MR",,,,
3966,NÃO,NÃO,,,,,
3983,NÃO,NÃO,,,,,
3989,SIM,SIM,"TK, ES, MP",,,,
3990,SIM,SIM,"ES, TK, DV",,,,
3992,NÃO,NÃO,,,,,
3993,NÃO,NÃO,,,,,
3994,NÃO,NÃO,,,,,
3996,NÃO,NÃO,,,,,
3997,SIM,NÃO,,,,,
3998,NÃO,NÃO,,,,,
4000,SIM,SIM,"UI, TK, ET, UP, ",,,,
4001,SIM,SIM,"CT, TK, ES, ET, UI",,,,
4002,SIM,SIM,"TK, ET, ST, ES",,,,
4003,SIM,SIM,"TK, ET, ES, ST, AI",,,,
4004,NÃO,NÃO,,,,,
4006,NÃO,NÃO,,,,,
4007,SIM,SIM,"UP, ET, DV, ES, TT",,,,
4012,SIM,SIM,"UP, ET, DV, ES, TT",,,,
4017,NÃO,NÃO,,,,,
4038,SIM,SIM,"TY, ES, UP, US, UI,",,,,
4045,NÃO,NÃO,,,,,
4046,NÃO,NÃO,,,,,
4053,SIM,SIM," ET, ",,,,
4054,SIM,SIM,"TK, MR",,,,
4055,SIM,SIM,"TK, ES, DV, ",,,,
4056,SIM,SIM,"TK, UI, ",,,,
4057,SIM,SIM,MR,,,,
4220,NÃO,NÃO,,,,,
4221,SIM,SIM,"TK, ET, ES",,,,
4224,SIM,SIM,"CT, ET, ",,,,
