DIRETÓRIO,,NUMERO E NOME DO ARQUIVO,Qnt. de TESTES,ANALISADO?,SMELL?,QUAL SMELL?
image/,,1433_Post-installation (Xubuntu),,NÃO,,
image/,,1434_Desktop (Xubuntu),13,SIM,SIM,"US, UP, AT, ES, OS"
image/,,1436_Post-Installation Tests,,NÃO,,
image/,,1437_Alternate Install (Entire Disk),,NÃO,,
image/,,1438_Alternate Install (Guided),,NÃO,,
image/,,1439_Alternate Install (Encryption),,NÃO,,
image/,,1440_Live LTSP,,NÃO,,
image/,,1441_Install (No Network Connection),,NÃO,,
image/,,1442_Mythbuntu Frontend,,NÃO,,
image/,,1443_Rescue Mode,,NÃO,,
image/,,1444_Mythbuntu Backend & Frontend,1,SIM,SIM,"MPC, US"
image/,,1445_Install Server iSCSI Root (virtualized KVM),2,SIM,SIM,"MPC, US"
image/,,1446_Ubiquity MemTest,1,SIM,SIM,"US, AT, AI"
image/,,1447_Ubiquity Disk Defects,,NÃO,,
image/,,1448_Unity Lenses,,NÃO,,
image/,,1450_Live (netbook),1,SIM,SIM,MPC
image/,,1451_Install (entire disk with lvm and encryption),1,SIM,SIM,"CT, US, UWT, AT, UP"
image/,,1452_Netboot Install (ARM Desktop),1,SIM,SIM,"US, UP"
image/,,1453_Netboot Install (ARM Server),1,SIM,SIM,"US, UP, TC"
image/,,1454_Dist-Upgrade,1,SIM,SIM,"AT, MPC, EH"
image/,,1455_Post-installation (Ubuntu Studio),,NÃO,,
image/,,1456_Install (JeOS on ESX),,NÃO,,
image/,,1457_Install (default + RAID1),3,SIM,SIM,"US, ET, MS, MPC, TC, UT"
image/,,1458_Install ((JeOS on KVM),,NÃO,,
image/,,1459_iSCSI Unauthenticated Root Installation,,NÃO,,
image/,,1460_iSCSI Authenticated Root Installation,,NÃO,,
image/,,1461_MAAS (Installer),,NÃO,,
image/,,1462_MAAS (Juju),,NÃO,,
image/,,1463_MAAS (Server),,NÃO,,
image/,,1464_ARM Headless,,NÃO,,
image/,,1465_Netboot Install PPC,,NÃO,,
image/,,1468_Install (upgrade),,NÃO,,
image/,,1469_Other Features,,NÃO,,
image/,,1470_Install (manual partitioning re-using home partition),,NÃO,,
image/,,1471_Install (erase and re-install),,NÃO,,
image/,,1493_Install Nexus7 (ubuntu-nexus7-installer),,NÃO,,
image/,,1494_Nexus7 on screen keyboard,,NÃO,,
image/,,1495_Nexus7 network manager,,NÃO,,
image/,,1497_Install (live session),,NÃO,,
image/,,1498_Upgrade (image),,NÃO,,
